title,authors,text,average_rating,ratings_count
The Bonesetter's Daughter,amytan,"['amytan', 'china', 'tell', 'story', 'three', 'generation', 'chinese', 'woman', 'beginning', 'turn', 'century']",3.98,414.0
The Lexus and the Olive Tree,thomaslfriedman,"['thomaslfriedman', 'capitalism', 'half', 'new', 'postcold', 'war', 'world', 'intent', 'building', 'better', 'lexus', 'streamlining', 'society', 'economy', 'global', 'marketplace', 'half', 'locked', 'elemental', 'struggle', 'owns', 'olive', 'tree', 'strip', 'land']",3.59,87.0
'Tis,frankmccourt,"['frankmccourt', 'ireland', 'pulizer', 'prizewinning', 'author', 'new', 'york', 'time', 'bestseller', 'angelas', 'ash', 'frank', 'mccourts', 'glorious', 'childhood', 'memoir', 'angelas', 'ash', 'loved', 'celebrated', 'reader', 'everywhere', 'national', 'book', 'critic', 'circle', 'award', 'los', 'angeles', 'time', 'book', 'award', 'pulitzer', 'prize', 'rarely', 'book', 'swiftly', 'found', 'place', 'literary', 'landscape', 'ti', 'story', 'frank', 'american', 'journey', 'impoverished', 'immigrant', 'brilliant', 'teacher', 'raconteur', 'frank', 'land', 'new', 'york', 'age', 'nineteen', 'get', 'job', 'biltmore', 'hotel', 'immediately', 'encounter', 'vivid', 'hierarchy', 'classless', 'country', 'drafted', 'army', 'sent', 'germany', 'train', 'dog', 'type', 'report', 'frank', 'incomparable', 'voice', 'render', 'experience', 'spellbinding', 'frank', 'return', 'america', '1953', 'work', 'dock', 'always', 'resisting', 'everyone', 'tell', 'know', 'getting', 'education', 'though', 'left', 'school', 'fourteen', 'talk', 'way', 'new', 'york', 'university', 'fall', 'love', 'quintessential', 'yankee', 'try', 'live', 'dream', 'start', 'teach', 'frank', 'find', 'place', 'world']",3.68,44179.0
Ocean Star Express,markhaddon petersutton,"['markhaddon', 'petersutton', 'juvenile', 'fiction', 'joe', 'parent', 'enjoying', 'summer', 'holiday', 'sea', 'ocean', 'star', 'hotel', 'sky', 'bright', 'blue', 'sun', 'shine', 'joe', 'love', 'seaside', 'offer', 'fog', 'roll', 'rain', 'fall', 'joe', 'begin', 'wish', 'back', 'home', 'thing', 'change', 'however', 'owner', 'hotel', 'invite', 'joe', 'share', 'magical', 'world', 'step', 'away', 'loft', 'black', 'night', 'joes', 'head', 'thousand', 'tiny', 'star', 'begin', 'sparkle', 'distance', 'hears', 'chugchugchug', 'model', 'train', 'whole', 'world', 'soon', 'open', 'joes', 'eye', 'world', 'snowcapped', 'mountain', 'great', 'desert', 'rocking', 'fishing', 'boat']",3.5,1.0
A Small Pinch of Weather,joanaiken,"['joanaiken', 'childrens', 'story', 'english', 'magical', 'fantastic', 'collection', 'early', 'story', 'one', 'original', 'childrens', 'author', '20th', 'century', '811', 'year', 'old']",4.27,116.0
Koko,peterstraub,"['peterstraub', 'male', 'friendship', 'koko', 'peter', 'straubs', 'foray', 'psychological', 'horror', 'vietnam', 'war']",3.56,7586.0
Tree and Leaf,johnronaldreueltolkien,"['johnronaldreueltolkien', 'literary', 'collection', 'two', 'work', 'fairystories', 'leaf', 'niggle', 'first', 'brought', 'together', 'form', 'book', 'tree', 'leaf', '1964', 'new', 'edition', 'third', 'element', 'added', 'poem', 'mythopoeia', 'making', 'mythspreface']",4.09,2245.0
Partners in Crime,agathachristie,"['agathachristie', 'beresford', 'tommy', 'fictitious', 'character', 'famous', 'volume', 'tommy', 'tuppence', 'linked', 'short', 'story', 'reissued', 'new', 'look', 'coincide', 'brand', 'new', 'series', 'tommy', 'tuppence', 'bbc', 'movie', 'tommy', 'tuppence', 'beresford', 'restless', 'adventure', 'asked', 'take', 'blunt', 'international', 'detective', 'agency', 'leapt', 'chance', 'triumphant', 'recovery', 'pink', 'pearl', 'intriguing', 'case', 'kept', 'coming', 'way', 'stabbing', 'sunningdale', 'golf', 'course', 'cryptic', 'message', 'personal', 'column', 'newspaper', 'even', 'box', 'poisoned', 'chocolate']",3.77,9506.0
Murder in Mesopotamia,agathachristie,"['agathachristie', 'detective', 'mystery', 'story', 'archaeologist', 'wife', 'murdered', 'shore', 'river', 'tigris', 'iraq', 'clear', 'amy', 'leatheran', 'something', 'sinister', 'going', 'hassanieh', 'dig', 'iraq', 'something', 'associated', 'presence', 'lovely', 'louise', 'wife', 'celebrated', 'archaeologist', 'dr', 'leidner', 'day', 'time', 'hercule', 'poirot', 'due', 'drop', 'excavation', 'site', 'louise', 'suffering', 'terrifying', 'hallucination', 'tension', 'within', 'group', 'becoming', 'almost', 'unbearable', 'poirot', 'might', 'late']",3.89,25692.0
"The Lord of the Rings, the Return of the King",judefisher,"['judefisher', 'imaginary', 'war', 'battle', 'visual', 'guide', 'third', 'lord', 'ring', 'movie', 'trilogy', 'largeformat', 'fullcolour', 'guide', 'character', 'place', 'landscape', 'artefact', 'battle', 'costume', 'seen', 'film', 'feature', 'image', 'informative', 'text', 'specially', 'commissioned', 'extra']",4.59,22.0
